Type,Morph,Probability,Count,Total
Chahoua,undefined,100.0,1,1
Chamaeleon,red,9.090909090909092,1,11
Chamaeleon,undefined,90.9090909090909,10,11
Iguana,undefined,100.0,1,1
Pnather,hat,66.66666666666666,2,3
Pnather,undefined,33.33333333333333,1,3
Salamander,undefined,100.0,6,6
Toad,undefined,100.0,6,6
beardydragon,dark,25.0,3,12
beardydragon,hypo,41.66666666666667,5,12
beardydragon,red,16.666666666666664,2,12
beardydragon,undefined,16.666666666666664,2,12
crestedgeko,cappucino,3.861788617886179,38,984
crestedgeko,cream,0.20325203252032523,2,984
crestedgeko,dalmatian,0.10162601626016261,1,984
crestedgeko,dark,0.20325203252032523,2,984
crestedgeko,frapuccino,4.166666666666666,41,984
crestedgeko,green,0.10162601626016261,1,984
crestedgeko,lily,34.756097560975604,342,984
crestedgeko,red,0.10162601626016261,1,984
crestedgeko,spotless,0.7113821138211381,7,984
crestedgeko,undefined,55.79268292682927,549,984
frog,green,8.695652173913043,2,23
frog,red,8.695652173913043,2,23
frog,undefined,65.21739130434783,15,23
frog,white,17.391304347826086,4,23
gagole,red,20.0,1,5
gagole,undefined,80.0,4,5
geko,green,7.6923076923076925,2,26
geko,stripe,3.8461538461538463,1,26
geko,undefined,80.76923076923077,21,26
geko,white,7.6923076923076925,2,26
leachianus,undefined,100.0,2,2
leopard,black,3.6363636363636362,2,55
leopard,undefined,96.36363636363636,53,55
newt,albino,16.666666666666664,1,6
newt,normal,16.666666666666664,1,6
newt,undefined,66.66666666666666,4,6
others,black,4.166666666666666,1,24
others,green,4.166666666666666,1,24
others,normal,16.666666666666664,4,24
others,red,4.166666666666666,1,24
others,undefined,66.66666666666666,16,24
others,white,4.166666666666666,1,24
pacman,albino,27.27272727272727,3,11
pacman,berry,18.181818181818183,2,11
pacman,green,27.27272727272727,3,11
pacman,red,9.090909090909092,1,11
pacman,undefined,18.181818181818183,2,11
skink,undefined,100.0,12,12
snake,albino,7.6923076923076925,3,39
snake,axanthic,2.564102564102564,1,39
snake,berry,5.128205128205128,2,39
snake,black,10.256410256410255,4,39
snake,cream,2.564102564102564,1,39
snake,green,2.564102564102564,1,39
snake,undefined,66.66666666666666,26,39
snake,white,2.564102564102564,1,39
turtle,undefined,100.0,5,5
